,demographics_key,dissemination_area,population,average_age,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
0,201135010155,35010155,486,,47.0,190,2.6,,100.0,0.0,2011
1,201135010156,35010156,477,,45.7,200,2.4,,100.0,0.0,2011
2,201135010157,35010157,501,,45.8,195,2.6,,100.0,0.0,2011
3,201135010158,35010158,520,,46.9,210,2.5,,100.0,0.0,2011
4,201135010159,35010159,502,,48.9,205,2.5,,99.01,0.99,2011
5,201135010160,35010160,454,,44.5,180,2.5,,100.0,0.0,2011
6,201135010161,35010161,414,,45.1,160,2.6,,100.0,0.0,2011
7,201135010162,35010162,404,,52.0,155,2.4,,100.0,0.0,2011
8,201135010163,35010163,522,,47.6,205,2.5,,100.0,0.0,2011
9,201135010164,35010164,436,,47.9,175,2.5,,100.0,0.0,2011
10,201135010165,35010165,404,,46.6,165,2.4,,100.0,0.0,2011
11,201135010166,35010166,455,,48.2,175,2.6,,100.0,0.0,2011
12,201135010167,35010167,474,,44.1,170,2.8,,100.0,0.0,2011
13,201135010168,35010168,427,,42.9,150,2.8,,100.0,0.0,2011
14,201135010169,35010169,424,,43.5,155,2.7,,100.0,0.0,2011
15,201135010170,35010170,462,,47.3,175,2.6,,100.0,0.0,2011
16,201135010171,35010171,469,,46.6,190,2.5,,100.0,0.0,2011
17,201135010172,35010172,1160,,41.8,390,2.7,,98.71,1.29,2011
18,201135010173,35010173,771,,48.8,315,2.4,,100.0,0.0,2011
19,201135010174,35010174,,,,,,,,,2011
20,201135010175,35010175,,,,,,,,,2011
21,201135010176,35010176,,,,,,,,,2011
22,201135010177,35010177,,,,,,,,,2011
23,201135010178,35010178,,,,,,,,,2011
24,201135010179,35010179,510,,48.6,190,2.7,,100.0,0.0,2011
25,201135010180,35010180,858,,50.2,300,2.4,,100.0,0.0,2011
26,201135010181,35010181,366,,40.6,145,2.4,,98.61,1.39,2011
27,201135010182,35010182,463,,50.1,190,2.5,,100.0,0.0,2011
28,201135010183,35010183,744,,24.1,245,3.1,,97.97,2.03,2011
29,201135010184,35010184,409,,55.1,175,2.3,,100.0,0.0,2011
30,201135010185,35010185,851,,51.7,420,2.0,,99.41,0.59,2011
31,201135010186,35010186,614,,49.0,280,2.1,,100.0,0.0,2011
32,201135010187,35010187,500,,46.1,215,2.1,,100.0,0.0,2011
33,201135010188,35010188,430,,47.2,195,2.3,,100.0,0.0,2011
34,201135010189,35010189,407,,46.1,155,2.7,,100.0,0.0,2011
35,201135010190,35010190,409,,45.1,195,2.1,,100.0,0.0,2011
36,201135010191,35010191,441,,41.8,210,2.1,,100.0,0.0,2011
37,201135010192,35010192,446,,40.6,210,2.1,,100.0,0.0,2011
38,201135010193,35010193,337,,37.4,175,1.9,,100.0,0.0,2011
39,201135010194,35010194,362,,35.0,170,2.1,,100.0,0.0,2011
40,201135010195,35010195,400,,36.4,195,2.0,,100.0,0.0,2011
41,201135010196,35010196,310,,34.3,160,1.9,,100.0,0.0,2011
42,201135010197,35010197,393,,34.2,195,2.0,,97.44,2.56,2011
43,201135010198,35010198,262,,61.0,180,1.4,,100.0,0.0,2011
44,201135010199,35010199,451,,34.6,215,2.0,,100.0,0.0,2011
45,201135010200,35010200,336,,38.0,170,2.0,,100.0,0.0,2011
46,201135010201,35010201,,,,,,,,,2011
47,201135010202,35010202,505,,48.6,190,2.0,,100.0,0.0,2011
48,201135010203,35010203,573,,49.6,245,2.0,,100.0,0.0,2011
49,201135010204,35010204,516,,57.3,310,1.7,,100.0,0.0,2011
50,201135010205,35010205,324,,46.8,175,1.9,,100.0,0.0,2011
51,201135010206,35010206,487,,44.5,230,2.1,,100.0,0.0,2011
52,201135010207,35010207,282,,45.0,110,2.4,,100.0,0.0,2011
53,201135010208,35010208,452,,45.4,205,2.1,,100.0,0.0,2011
54,201135010209,35010209,460,,35.7,210,2.2,,100.0,0.0,2011
55,201135010210,35010210,513,,53.6,295,1.7,,100.0,0.0,2011
56,201135010211,35010211,486,,37.4,210,2.3,,100.0,0.0,2011
57,201135010212,35010212,431,,44.6,225,1.9,,100.0,0.0,2011
58,201135010213,35010213,546,,42.1,215,2.5,,100.0,0.0,2011
59,201135010214,35010214,357,,42.3,150,2.3,,100.0,0.0,2011
60,201135010215,35010215,673,,46.5,215,2.6,,100.0,0.0,2011
61,201135010216,35010216,447,,49.4,205,2.2,,100.0,0.0,2011
62,201135010217,35010217,651,,42.6,300,2.2,,100.0,0.0,2011
63,201135010218,35010218,491,,34.1,195,2.5,,100.0,0.0,2011
64,201135010219,35010219,494,,43.7,220,2.2,,98.98,1.02,2011
65,201135010220,35010220,482,,46.2,215,2.2,,100.0,0.0,2011
66,201135010221,35010221,498,,45.6,240,2.1,,100.0,0.0,2011
67,201135010222,35010222,517,,45.7,230,2.2,,100.0,0.0,2011
68,201135010223,35010223,552,,47.2,280,1.9,,99.09,0.91,2011
69,201135010224,35010224,567,,40.3,215,2.5,,99.07,0.93,2011
70,201135010225,35010225,852,,33.2,380,2.3,,99.42,0.58,2011
71,201135010226,35010226,519,,31.9,200,2.4,,98.95,1.05,2011
72,201135010227,35010227,308,,42.4,120,2.5,,98.36,1.64,2011
73,201135010228,35010228,575,,49.4,200,2.6,,100.0,0.0,2011
74,201135010229,35010229,662,,45.3,240,2.6,,99.24,0.76,2011
75,201135010230,35010230,451,,45.7,160,2.9,,100.0,0.0,2011
76,201135010231,35010231,421,,48.8,175,2.3,,100.0,0.0,2011
77,201135010232,35010232,425,,48.8,175,2.4,,98.82,1.18,2011
78,201135010233,35010233,493,,49.0,215,2.3,,98.98,1.02,2011
79,201135010234,35010234,514,,41.1,195,2.5,,100.0,0.0,2011
80,201135010235,35010235,415,,55.2,230,1.7,,100.0,0.0,2011
81,201135010237,35010237,481,,57.4,265,1.8,,100.0,0.0,2011
82,201135010238,35010238,415,,39.6,205,2.0,,100.0,0.0,2011
83,201135010239,35010239,514,,46.7,280,1.8,,100.0,0.0,2011
84,201135010240,35010240,446,,38.2,200,2.2,,100.0,0.0,2011
85,201135010241,35010241,563,,30.5,230,2.4,,100.0,0.0,2011
86,201135010242,35010242,450,,40.8,205,2.2,,100.0,0.0,2011
87,201135010243,35010243,500,,39.2,215,2.3,,100.0,0.0,2011
88,201135010244,35010244,549,,43.9,255,2.1,,100.0,0.0,2011
89,201135010245,35010245,607,,37.1,280,2.1,,100.0,0.0,2011
90,201135010246,35010246,503,,43.4,240,2.1,,100.0,0.0,2011
91,201135010247,35010247,631,,64.1,445,1.4,,100.0,0.0,2011
92,201135010248,35010248,546,,78.2,285,1.2,,100.0,0.0,2011
93,201135010249,35010249,451,,42.8,205,2.2,,100.0,0.0,2011
94,201135010250,35010250,357,,45.9,155,2.3,,100.0,0.0,2011
95,201135010251,35010251,374,,46.9,140,2.7,,100.0,0.0,2011
96,201135010252,35010252,446,,41.3,175,2.5,,100.0,0.0,2011
97,201135010253,35010253,598,,40.4,235,2.5,,100.0,0.0,2011
98,201135010254,35010254,383,,45.6,150,2.5,,100.0,0.0,2011
99,201135010255,35010255,233,,44.5,90,2.5,,100.0,0.0,2011
100,201135010256,35010256,364,,42.3,150,2.4,,100.0,0.0,2011
101,201135010257,35010257,482,,47.1,190,2.5,,100.0,0.0,2011
102,201135010258,35010258,488,,46.5,205,2.4,,100.0,0.0,2011
103,201135010259,35010259,258,,49.0,105,2.6,,100.0,0.0,2011
104,201135010260,35010260,586,,36.6,225,2.5,,100.0,0.0,2011
105,201135010261,35010261,414,,52.2,190,2.1,,100.0,0.0,2011
106,201135010262,35010262,338,,52.0,140,2.4,,100.0,0.0,2011
107,201135010263,35010263,329,,53.1,140,2.4,,100.0,0.0,2011
108,201135010264,35010264,523,,48.9,235,2.2,,100.0,0.0,2011
109,201135010265,35010265,403,,48.0,140,2.8,,100.0,0.0,2011
110,201135010266,35010266,634,,55.2,300,2.1,,100.0,0.0,2011
111,201135010267,35010267,405,,51.5,175,2.3,,100.0,0.0,2011
112,201135010268,35010268,440,,44.1,225,2.0,,100.0,0.0,2011
113,201135010269,35010269,594,,60.2,190,2.2,,99.15,0.85,2011
114,201135010270,35010270,373,,45.6,210,1.8,,100.0,0.0,2011
115,201135010271,35010271,313,,39.1,150,2.0,,100.0,0.0,2011
116,201135010272,35010272,419,,34.9,215,2.0,,98.81,1.19,2011
117,201135010273,35010273,662,,46.1,265,2.5,,100.0,0.0,2011
118,201135010274,35010274,484,,52.2,200,2.4,,100.0,0.0,2011
119,201135010275,35010275,791,,45.2,290,2.7,,100.0,0.0,2011
120,201135010276,35010276,560,,43.8,205,2.7,,100.0,0.0,2011
121,201135010277,35010277,518,,46.0,200,2.6,,100.0,0.0,2011
122,201135010278,35010278,455,,40.6,160,2.8,,100.0,0.0,2011
123,201135010279,35010279,430,,43.6,155,2.8,,100.0,0.0,2011
124,201135010280,35010280,471,,42.6,160,2.9,,100.0,0.0,2011
125,201135010281,35010281,447,,41.4,165,2.8,,100.0,0.0,2011
126,201135010282,35010282,450,,38.4,160,2.8,,100.0,0.0,2011
127,201135010283,35010283,471,,37.8,170,2.8,,100.0,0.0,2011
128,201135010284,35010284,449,,39.3,160,2.8,,100.0,0.0,2011
129,201135010285,35010285,510,,44.6,195,2.4,,99.02,0.98,2011
130,201135010286,35010286,531,,42.1,185,2.9,,100.0,0.0,2011
131,201135010287,35010287,447,,45.7,170,2.5,,100.0,0.0,2011
132,201135010288,35010288,478,,41.4,180,2.6,,100.0,0.0,2011
133,201135010289,35010289,450,,39.2,190,2.4,,100.0,0.0,2011
134,201135010290,35010290,473,,36.2,155,2.9,,100.0,0.0,2011
135,201135010291,35010291,475,,36.9,175,2.7,,100.0,0.0,2011
136,201135010292,35010292,513,,40.3,180,2.9,,100.0,0.0,2011
137,201135010293,35010293,662,,41.5,250,2.7,,100.0,0.0,2011
138,201135010294,35010294,612,,43.4,245,2.6,,100.0,0.0,2011
139,201135010295,35010295,458,,47.8,205,2.2,,100.0,0.0,2011
140,201135010296,35010296,441,,44.7,195,2.2,,100.0,0.0,2011
141,201135010297,35010297,432,,41.4,160,2.6,,100.0,0.0,2011
142,201135010298,35010298,483,,44.8,180,2.7,,100.0,0.0,2011
143,201135010299,35010299,517,,44.6,200,2.6,,100.0,0.0,2011
144,201135010300,35010300,596,,41.3,210,2.8,,100.0,0.0,2011
145,201135010301,35010301,461,,43.9,180,2.5,,100.0,0.0,2011
146,201135010302,35010302,623,,44.7,270,2.3,,100.0,0.0,2011
147,201135010303,35010303,480,,48.9,185,2.5,,100.0,0.0,2011
148,201135010304,35010304,526,,54.0,170,2.4,,100.0,0.0,2011
149,201135010305,35010305,407,,50.5,165,2.5,,100.0,0.0,2011
150,201135010306,35010306,484,,53.5,215,2.2,,100.0,0.0,2011
151,201135010307,35010307,474,,47.6,195,2.3,,100.0,0.0,2011
152,201135010308,35010308,494,,50.4,225,2.2,,100.0,0.0,2011
153,201135010309,35010309,416,,42.9,180,2.2,,100.0,0.0,2011
154,201135010310,35010310,507,,52.0,245,2.0,,99.0,1.0,2011
155,201135010311,35010311,637,,46.7,260,2.5,,100.0,0.0,2011
156,201135010312,35010312,488,,43.0,185,2.7,,100.0,0.0,2011
157,201135010313,35010313,677,,44.9,270,2.5,,100.0,0.0,2011
