,demographics_key,dissemination_area,population,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
80,201135010242,35010242,450,40.8,205,2.2,23872.0,100.0,0.0,2011
81,201135010243,35010243,500,39.2,215,2.3,23264.0,100.0,0.0,2011
82,201135010244,35010244,549,43.9,255,2.1,21840.0,100.0,0.0,2011
83,201135010245,35010245,607,37.1,280,2.1,23264.0,100.0,0.0,2011
84,201135010246,35010246,503,43.4,240,2.1,26496.0,100.0,0.0,2011
85,201135010247,35010247,631,64.1,445,1.4,21216.0,100.0,0.0,2011
86,201135010248,35010248,546,78.2,285,1.2,20512.0,100.0,0.0,2011
87,201135010249,35010249,451,42.8,205,2.2,26016.0,100.0,0.0,2011
88,201135010250,35010250,357,45.9,155,2.3,30528.0,100.0,0.0,2011
89,201135010251,35010251,374,46.9,140,2.7,31296.0,100.0,0.0,2011
90,201135010252,35010252,446,41.3,175,2.5,33088.0,100.0,0.0,2011
91,201135010253,35010253,598,40.4,235,2.5,33792.0,100.0,0.0,2011
92,201135010254,35010254,383,45.6,150,2.5,36352.0,100.0,0.0,2011
93,201135010255,35010255,233,44.5,90,2.5,33216.0,100.0,0.0,2011
94,201135010256,35010256,364,42.3,150,2.4,31296.0,100.0,0.0,2011
95,201135010257,35010257,482,47.1,190,2.5,29248.0,100.0,0.0,2011
96,201135010258,35010258,488,46.5,205,2.4,36416.0,100.0,0.0,2011
97,201135010259,35010259,258,49.0,105,2.6,42944.0,100.0,0.0,2011
98,201135010260,35010260,586,36.6,225,2.5,26944.0,100.0,0.0,2011
99,201135010261,35010261,414,52.2,190,2.1,27264.0,100.0,0.0,2011
100,201135010262,35010262,338,52.0,140,2.4,32704.0,100.0,0.0,2011
101,201135010263,35010263,329,53.1,140,2.4,34432.0,100.0,0.0,2011
102,201135010264,35010264,523,48.9,235,2.2,33877.0,100.0,0.0,2011
103,201135010265,35010265,403,48.0,140,2.8,42624.0,100.0,0.0,2011
104,201135010266,35010266,634,55.2,300,2.1,25792.0,100.0,0.0,2011
105,201135010267,35010267,405,51.5,175,2.3,34336.0,100.0,0.0,2011
106,201135010268,35010268,440,44.1,225,2.0,22144.0,100.0,0.0,2011
107,201135010269,35010269,594,60.2,190,2.2,28736.0,99.15,0.85,2011
108,201135010270,35010270,373,45.6,210,1.8,20928.0,100.0,0.0,2011
109,201135010271,35010271,313,39.1,150,2.0,20053.0,100.0,0.0,2011
110,201135010272,35010272,419,34.9,215,2.0,18944.0,98.81,1.19,2011
111,201135010273,35010273,662,46.1,265,2.5,34624.0,100.0,0.0,2011
112,201135010274,35010274,484,52.2,200,2.4,36352.0,100.0,0.0,2011
113,201135010275,35010275,791,45.2,290,2.7,35680.0,100.0,0.0,2011
114,201135010276,35010276,560,43.8,205,2.7,42176.0,100.0,0.0,2011
115,201135010277,35010277,518,46.0,200,2.6,35456.0,100.0,0.0,2011
116,201135010278,35010278,455,40.6,160,2.8,32896.0,100.0,0.0,2011
117,201135010279,35010279,430,43.6,155,2.8,32768.0,100.0,0.0,2011
118,201135010280,35010280,471,42.6,160,2.9,35008.0,100.0,0.0,2011
119,201135010281,35010281,447,41.4,165,2.8,36864.0,100.0,0.0,2011
120,201135010282,35010282,450,38.4,160,2.8,35136.0,100.0,0.0,2011
121,201135010283,35010283,471,37.8,170,2.8,29376.0,100.0,0.0,2011
122,201135010284,35010284,449,39.3,160,2.8,36032.0,100.0,0.0,2011
123,201135010285,35010285,510,44.6,195,2.4,34912.0,99.02,0.98,2011
124,201135010286,35010286,531,42.1,185,2.9,35072.0,100.0,0.0,2011
125,201135010287,35010287,447,45.7,170,2.5,37120.0,100.0,0.0,2011
126,201135010288,35010288,478,41.4,180,2.6,40928.0,100.0,0.0,2011
127,201135010289,35010289,450,39.2,190,2.4,44459.0,100.0,0.0,2011
128,201135010290,35010290,473,36.2,155,2.9,40704.0,100.0,0.0,2011
129,201135010291,35010291,475,36.9,175,2.7,44928.0,100.0,0.0,2011
130,201135010292,35010292,513,40.3,180,2.9,37120.0,100.0,0.0,2011
131,201135010293,35010293,662,41.5,250,2.7,38443.0,100.0,0.0,2011
132,201135010294,35010294,612,43.4,245,2.6,36096.0,100.0,0.0,2011
133,201135010295,35010295,458,47.8,205,2.2,33152.0,100.0,0.0,2011
134,201135010296,35010296,441,44.7,195,2.2,29216.0,100.0,0.0,2011
135,201135010297,35010297,432,41.4,160,2.6,35648.0,100.0,0.0,2011
136,201135010298,35010298,483,44.8,180,2.7,37248.0,100.0,0.0,2011
