,demographics_key,dissemination_area,population,average_age,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
8470,202135204364,35204364,1084,32.0,29.0,315,3.5,70500.0,31.340000000000003,68.66,2021
8471,202135204365,35204365,508,42.4,46.0,170,3.0,157000.0,67.33,32.67,2021
8472,202135204366,35204366,257,30.3,27.6,95,2.6,44800.0,66.67,33.33,2021
8473,202135204367,35204367,2928,33.6,34.0,1070,2.7,49600.0,43.34,56.66,2021
8474,202135204369,35204369,437,40.6,40.0,170,2.6,80000.0,63.64,36.36,2021
8475,202135204370,35204370,1504,40.4,39.6,545,2.8,74500.0,40.86,59.14,2021
8476,202135204371,35204371,3391,33.3,32.8,1220,2.8,64000.0,36.14,63.86,2021
8477,202135204372,35204372,1029,34.6,34.4,455,2.3,52000.0,46.6,53.4,2021
8478,202135204373,35204373,1882,41.4,40.4,705,2.7,68000.0,59.84,40.16,2021
8479,202135204374,35204374,611,41.1,40.8,205,3.0,107000.0,62.3,37.7,2021
8480,202135204375,35204375,533,46.3,49.6,205,2.7,102000.0,58.88,41.12,2021
8481,202135204376,35204376,498,40.0,38.0,145,3.3,95000.0,48.96,51.04,2021
8482,202135204377,35204377,514,43.6,44.8,175,2.9,95000.0,51.46,48.54,2021
8483,202135204378,35204378,517,39.2,36.4,165,3.1,82000.0,47.57,52.43,2021
8484,202135204379,35204379,403,45.7,47.6,140,2.9,101000.0,51.85,48.15,2021
8485,202135204380,35204380,3486,38.8,35.6,2020,1.7,69500.0,57.02,42.98,2021
8486,202135204381,35204381,1064,42.6,41.2,640,1.7,78000.0,65.72999999999999,34.27,2021
8487,202135204383,35204383,693,40.4,40.0,315,2.2,106000.0,77.53999999999999,22.46,2021
8488,202135204384,35204384,781,43.3,41.2,475,1.7,73000.0,70.51,29.49,2021
8489,202135204385,35204385,657,38.3,40.0,250,2.6,174000.0,77.86,22.14,2021
