_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
45,990940,280,Burnhamthorpe Rd,280 Burnhamthorpe Rd,Etobicoke,911274,2544120,19,445.0,1960.0,2,Etobicoke Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5451030832103, 43.649348178119)}"
46,982440,1549,Albion Rd,1549 Albion Rd,Etobicoke,906946,2546874,33,413.0,1972.0,1,Etobicoke North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5869058522884, 43.7402187055703)}"
47,8731578,255,Esther Shiner Blvd,255 Esther Shiner Blvd,North York,30005958,2607109,78,116.0,2007.0,17,Don Valley North,Fire Station,None,"Fire Prevention Office (E, N)",Division Commander / Platoon Chiefs,"{'type': 'Point', 'coordinates': (-79.3650636554859, 43.7691459436276)}"
48,8100063,155,The East Mall,155 The East Mall,Etobicoke,8100062,2609714,26,432.0,1980.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5493536952449, 43.6233410114915)}"
49,5464019,3600,Danforth Ave,3600 Danforth Ave,Scarborough,5464008,2642292,62,225.0,1998.0,20,Scarborough Southwest,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2684946045652, 43.6959168731747)}"
50,6942838,308,Prince Edward Dr S,308 Prince Edward Dr S,Etobicoke,6942837,2663266,27,431.0,1958.0,3,Etobicoke-Lakeshore,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5048470438209, 43.6464360660255)}"
51,9655766,2120,Kipling Ave,2120 Kipling Ave,Etobicoke,9655751,2750607,32,415.0,1954.0,1,Etobicoke North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5703767704744, 43.7178772080563)}"
52,560567,700,Seneca Hill Dr,700 Seneca Hill Dr,North York,436832,2788036,16,113.0,1969.0,17,Don Valley North,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3508330020753, 43.7931779343076)}"
53,20035267,1505,Lawrence Ave W,1505 Lawrence Ave W,North York,9796670,2829802,8,133.0,1962.0,5,York South-Weston,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.482184879151, 43.7071848480233)}"
54,792196,83,Deforest Rd,83 Deforest Rd,former Toronto,1146026,2943084,29,425.0,1964.0,4,Parkdale-High Park,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4780588288151, 43.6479870238738)}"
55,9531843,6,Lambton Ave,6 Lambton Ave,York,9531839,2973435,31,421.0,1956.0,5,York South-Weston,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4853016276853, 43.6843003946467)}"
56,531061,2753,Jane St,2753 Jane St,North York,442012,2982185,5,142.0,1982.0,7,Humber River-Black Creek,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.51437064341631, 43.7459827062059)}"
57,7974292,240,Howland Ave,240 Howland Ave,former Toronto,30017353,2997539,83,344.0,1910.0,11,University-Rosedale,Fire Station,None,Fire Prevention Office (S),None,"{'type': 'Point', 'coordinates': (-79.4118241402967, 43.6729622271664)}"
58,770042,132,Bellevue Ave,132 Bellevue Ave,former Toronto,30017518,3000730,46,315.0,1878.0,11,University-Rosedale,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4047817252926, 43.6568245874366)}"
59,9345008,4562,Sheppard Ave E,4562 Sheppard Ave E,Scarborough,9344974,3011194,88,,1985.0,23,Scarborough North,Admin,Public Education Office,None,Fire East Command Training Division / East Training Centre / Burn Tower,"{'type': 'Point', 'coordinates': (-79.2631379188002, 43.78962560630091)}"
60,14076681,30,Knox Ave,30 Knox Ave,former Toronto,30021411,3024003,42,326.0,1980.0,14,Toronto-Danforth,Fire Station,None,None,Fire Control Tower Building,"{'type': 'Point', 'coordinates': (-79.3250072916157, 43.6615387594206)}"
61,6168242,475,Dundas St E,475 Dundas St E,former Toronto,6168241,3030229,43,325.0,1954.0,13,Toronto Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3648542022226, 43.6593705340714)}"
62,1009102,1724,Islington Ave,1724 Islington Ave,Etobicoke,30023253,3035181,21,443.0,1958.0,2,Etobicoke Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5385536449026, 43.678071015543)}"
63,4723662,2220,Jane St,2220 Jane St,North York,30006795,3072600,3,146.0,1956.0,7,Humber River-Black Creek,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.5097760967724, 43.7235728614792)}"
64,9741247,1009,Sheppard Ave W,1009 Sheppard Ave W,North York,9741246,3083829,4,143.0,1956.0,6,York Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4597267967044, 43.7506541444208)}"
65,308625,1600,Birchmount Rd,1600 Birchmount Rd,Scarborough,108988,3093030,51,245.0,1960.0,21,Scarborough Centre,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.2915184052647, 43.7626918218058)}"
66,6661414,207,Front St E,207 Front St E,former Toronto,1145261,3119337,84,333.0,1970.0,13,Toronto Centre,Fire Station,None,Fire Prevention Office,FP Special Event Plans and Projects,"{'type': 'Point', 'coordinates': (-79.3661539690352, 43.6505208079754)}"
67,396134,3325,Warden Ave,3325 Warden Ave,Scarborough,14663726,3174616,55,241.0,1980.0,22,Scarborough-Agincourt,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3238025417745, 43.8140419797109)}"
68,6275804,20,Beffort Rd,20 Beffort Rd,North York,6275627,3186765,76,145.0,1989.0,6,York Centre,Fire Station,None,Fire Prevention Office (N),None,"{'type': 'Point', 'coordinates': (-79.4600322095888, 43.734755513140804)}"
69,6686397,200,Bermondsey Rd,200 Bermondsey Rd,North York,6682365,3217085,56,235.0,1960.0,16,Don Valley East,Fire Station,None,None,Special Operations Training Centre,"{'type': 'Point', 'coordinates': (-79.3149344230792, 43.7242534211126)}"
70,9796836,2015,Lawrence Ave W,2015 Lawrence Ave W,York,9796835,3234576,79,442.0,1990.0,5,York South-Weston,Fire Station,None,Fire Prevention Office (W),Division Commander / Platoon Chiefs,"{'type': 'Point', 'coordinates': (-79.5123844108684, 43.7005987011636)}"
71,13497504,75,Toryork Dr,75 Toryork Dr,North York,10367893,3301795,34,411.0,1964.0,7,Humber River-Black Creek,Fire Station,None,None,"Emergency Management, Health & Safety (EMH&S) /Toryork Yard - Fire Training Tower","{'type': 'Point', 'coordinates': (-79.5491654346987, 43.75525826208751)}"
72,9313399,5700,Bathurst St,5700 Bathurst St,North York,14661127,3311629,17,112.0,1978.0,6,York Centre,Fire Station,None,None,Fire Investigations / EMS Section - North Training Centre,"{'type': 'Point', 'coordinates': (-79.4442860463118, 43.7762855215206)}"
73,5336734,4330,Dufferin St,4330 Dufferin St,North York,5336708,3311692,74,,1980.0,6,York Centre,Admin,None,Fire Prevention Office HQ,"Headquarters, Fire Protection Engineer (1)","{'type': 'Point', 'coordinates': (-79.4665315263383, 43.7617908433807)}"
74,9602654,3300,Bayview Ave,3300 Bayview Ave,North York,20050112,3311708,18,111.0,1979.0,18,Willowdale,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3936558799113, 43.7901270072937)}"
75,13498086,12,Canterbury Pl,12 Canterbury Pl,North York,438636,3311726,15,114.0,1989.0,18,Willowdale,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.4153547749349, 43.7726358500692)}"
76,13497616,90,Quebec St,90 Quebec St,former Toronto,30060516,3800221,82,346.0,1912.0,10,Spadina-Fort York,Fire Station Seasonal,None,Fire Prevention Office (S),None,"{'type': 'Point', 'coordinates': (-79.42132972700702, 43.6336769750109)}"
77,3841975,5100,Yonge St,5100 Yonge St,North York,3841982,3837871,73,,,18,Willowdale,Admin Civic Centre,None,Fire Prevention Office (N),None,"{'type': 'Point', 'coordinates': (-79.4148887450114, 43.7672678891958)}"
78,310564,150,Borough Dr,150 Borough Dr,Scarborough,107945,3838259,72,,,21,Scarborough Centre,Admin Civic Centre,None,Fire Prevention Office (E),Fire Protection Engineer (2),"{'type': 'Point', 'coordinates': (-79.2572409577755, 43.7728105957421)}"
79,14069050,339,Queens Quay W,339 Queens Quay W,former Toronto,10223459,4061713,40,334.0,2000.0,10,Spadina-Fort York,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.388613016358, 43.6376903109341)}"
80,808592,840,Gerrard St E,840 Gerrard St E,former Toronto,14024937,4135973,44,324.0,1931.0,14,Toronto-Danforth,Fire Station,None,None,None,"{'type': 'Point', 'coordinates': (-79.3435181858772, 43.6677666816198)}"
